shop_location,shop_name,lon,lat,product,sales_qty,sales_revenue
Mlolongo,MG 4 phase 3 dreamland,36.951,-1.39264,bits,6738,673800
Umoja 2 and 3,Green Grocer Shop,36.901442,-1.282295,bits,6369,636900
Shauri Moyo,RAMANI SHOP 7068,36.849308,-1.296621,bits,7681,768100
Buruburu,DAUDI'S ENTERPRISES,36.875517,-1.276471,bits,4473,447300
Kangemi,Seraben supermarket-EA,36.748763,-1.266479,bits,2629,262900
Kayole,Eagle Services,36.912029,-1.276038,bits,9706,970600
Pipeline,Lucyron Mini Mart,36.889934,-1.315296,bits,8996,899600
Kahawa West,Premier Mart,36.904865,-1.18208,bits,8139,813900
Githurai 44,Danhu Enterprices,36.900807,-1.200401,bits,4819,481900
Kahawa,Jacaranda supermarket,36.895555,-1.189018,bits,265,26500
Thika,Chap Chap Mini Mart,37.06787,-1.03815,bits,1467,146700
Mukuru kwa Njenga,Muhindi Mweusi Supermarket-Mukuru kwa Njenga,36.887765,-1.319547,bits,9852,985200
Thika,Summer Poshomill,37.103723,-1.054361,bits,8767,876700
Lucky Summer,Nirova Investments,36.903541,-1.237947,bits,6592,659200
Kariobangi South,Phoenix Entertainment,36.884892,-1.270499,bits,4279,427900
Githurai 45,Unique JB Shop,36.915989,-1.20672,bits,8692,869200
Waithaka,Joskam,36.719967,-1.281038,bits,955,95500
Kayole,Step one shop,36.912136,-1.286572,bits,2494,249400
Githurai 45,Bidii Enterprises,36.93822,-1.21397,bits,5821,582100
Lucky Summer,Neema cereals B. Dogo,36.8834,-1.24,bits,1711,171100
Mwiki,Nyambo Dairy Mwiki,36.929465,-1.238338,bits,5543,554300
Dandora Phase 2,Wachege Shop,36.896489,-1.254767,bits,6238,623800
Mwiki,Raha General Shop,36.925549,-1.229502,bits,1489,148900
Maringo,DREAM PUB BUTCHERY,36.8548,-1.2944,bits,6720,672000
Kayole,Palace food merchants,36.916907,-1.271715,bits,137,13700
Kayole,Muhindi Mweusi Supermarket (Kayole),36.914878,-1.281217,bits,9351,935100
Mowlem-Dandora,Miwa tatu merchants,36.902138,-1.265242,bits,2953,295300
Huruma,REE SCENTS BEAUTY SHOP,36.869037,-1.259632,bits,9543,954300
Kitengela,Ngwata Shop,36.957298,-1.471206,bits,7145,714500
Ndumbuini,Mama brian salon,36.722968,-1.255564,bits,7984,798400
Mlolongo,MG SHOP 5 MG ELECTRONICS & GAS,36.948353,-1.389159,bits,2563,256300
Ruai,Mashtech gas department,36.996761,-1.271607,bits,9264,926400
Mathare slum,Baba Jack,36.86033,-1.261237,bits,7251,725100
Mwiki,Pasals boutique,36.930245,-1.237488,bits,4852,485200
Mathare North,Digital Wave Solutions,36.867535,-1.252948,bits,5447,544700
Ruiru,Ebenezer shop (Ruiru Kihunguro),36.961689,-1.159814,bits,3573,357300
Syokimau,Mambo Jambo (Syokimau),36.941266,-1.367928,bits,3086,308600
Kariobangi South,Chetu Chema Enterprise,36.884485,-1.266378,bits,748,74800
Kangemi,Express Supermarket (Waruku),36.75418,-1.26853,bits,5785,578500
Umoja Innercore and 1,Mambi Glassmart`,36.886585,-1.280421,bits,7731,773100
Ruai,Reliance energy mutalia,37.1121,-1.2739,bits,5996,599600
Umoja Innercore and 1,Igwe enterprise Umoja,36.882978,-1.280071,bits,5015,501500
Mwiki,Down Town Shop,36.918968,-1.233626,bits,2751,275100
Umoja 2 and 3,One Stop General Shop (Umoja 2 and 3),36.896536,-1.267108,bits,4026,402600
Uthiru,Elex services shop,36.710997,-1.258915,bits,4038,403800
Kaloleni,SESSIA CEREALS SHOP,36.870171,-1.294508,bits,2262,226200
Kawangware,Diznay stores kawangware,36.750438,-1.28859,bits,1301,130100
Mwiki,Japata kerosene pump,36.933862,-1.233483,bits,1278,127800
Umoja 2 and 3,Danisora Investment Ltd (Umoja 2 and 3),36.899265,-1.285142,bits,5579,557900
Athi River,Bliss Uniform Centre (Athi River),36.9741,-1.45724,bits,2754,275400
Kayole,Sauti (A) Shop,36.919334,-1.268229,bits,5647,564700
Ngummo,Lucky Prince,36.799686,-1.311282,bits,6966,696600
Umoja 2 and 3,Super bargain shop Umoja,36.893576,-1.276069,bits,6088,608800
Ruai,Jerry cereals shop,36.98864,-1.298765,bits,1769,176900
Mlolongo,Hesbonellar shop 2,36.943483,-1.390425,bits,2490,249000
Ngong,Jetmark Traders embulbul,36.67436,-1.333753,bits,8388,838800
Dandora Phase 4 & 5,Mandelas Price,36.905031,-1.242604,bits,865,86500
Syokimau,Fm Technical shop,36.946378,-1.364303,bits,5020,502000
Dandora Phase 3,Kairu's Shopping Complex,36.904,-1.2503,bits,6946,694600
Rongai,Church of the Nazarene Kware,36.748792,-1.391728,bits,9345,934500
Mwiki,Special Gas,36.919849,-1.231961,bits,5494,549400
Thika,TODAY MINI SHOP,37.09698,-1.07252,bits,8127,812700
Kayole,CHRIS MALI MALI SHOP,36.91257,-1.285587,bits,2685,268500
Kasarani,By Grace General Shop - Kasarani,36.898699,-1.218336,bits,9454,945400
Mlolongo,KIKA INVESTMENT,36.94369,-1.386883,bits,2384,238400
Githurai 45,Perfect gas suppliers,36.916722,-1.20781,bits,8558,855800
Kibera,Uchumi Ndogo Shop,36.793135,-1.31547,bits,2772,277200
Umoja 2 and 3,Kingsmatt Milk ATM-EA,36.89822,-1.27905,bits,9578,957800
Kayole,By Grace Derek shop,36.92386,-1.264017,bits,5180,518000
Mathare North,Slopes General Hardware,36.871475,-1.248993,bits,1122,112200
Kahawa West,Dan Rose KM,36.929438,-1.173808,bits,9022,902200
Obama,Genesis Enterprises,36.92449,-1.25633,bits,7052,705200
Thika,DELIGHT BEAUTY SHOP,37.11212,-1.05677,bits,9783,978300
Umoja 2 and 3,Apple Gas Point,36.895805,-1.262469,bits,2075,207500
Kitengela,Ben Ben boutique,36.954459,-1.481914,bits,2488,248800
Ruaka/Denderu,Titans Complex,36.78516,-1.20707,bits,648,64800
"Embakasi (Fedha, Nyayo,Tasia)",Mama Favour shop,36.902982,-1.304446,bits,4041,404100
Athi River,Menengai Stores,36.97421,-1.457337,bits,3666,366600
Mowlem-Dandora,Russian enterprises,36.909583,-1.25837,bits,933,93300
Zimmerman,Pegjam Enterprise,36.895159,-1.21041,bits,8641,864100
Mathare North,Gatitu general,36.867776,-1.255071,bits,3143,314300
Juja,Favoured mini mart ( k road),37.003833,-1.121352,bits,6144,614400
Kaloleni,NYANGE STORES,36.860476,-1.298502,bits,891,89100
